2 T-54-3M: 1 destroyed, 0 damaged, 1 abandoned, 0 captured
1 T-54B: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
3 T-55A: 2 destroyed, 1 damaged, 0 abandoned, 0 captured
3 T-62 Obr. 1967: 2 destroyed, 0 damaged, 0 abandoned, 1 captured
2 T-62 Obr. 1972: 1 destroyed, 0 damaged, 1 abandoned, 0 captured
108 T-62M: 58 destroyed, 9 damaged, 7 abandoned, 34 captured
20 T-62M Obr. 2022: 15 destroyed, 2 damaged, 3 abandoned, 0 captured
30 T-62MV: 15 destroyed, 1 damaged, 4 abandoned, 10 captured
9 T-62MV Obr. 2022: 4 destroyed, 1 damaged, 4 abandoned, 0 captured
14 Unknown T-62: 11 destroyed, 0 damaged, 3 abandoned, 0 captured
3 T-64A: 2 destroyed, 1 damaged, 0 abandoned, 0 captured
92 T-64BV: 72 destroyed, 10 damaged, 6 abandoned, 4 captured
2 T-64BVK: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
4 T-72 'Ural': 2 destroyed, 0 damaged, 2 abandoned, 0 captured
46 T-72A: 29 destroyed, 1 damaged, 7 abandoned, 9 captured
22 T-72AV: 16 destroyed, 0 damaged, 2 abandoned, 4 captured
347 T-72B: 247 destroyed, 8 damaged, 27 abandoned, 65 captured
109 T-72B Obr. 1989: 73 destroyed, 4 damaged, 13 abandoned, 19 captured
120 T-72B Obr. 2022: 84 destroyed, 3 damaged, 32 abandoned, 1 captured
31 T-72BA: 13 destroyed, 2 damaged, 0 abandoned, 16 captured
375 T-72B3: 250 destroyed, 25 damaged, 24 abandoned, 76 captured
3 T-72B3 Obr. 2014: 2 destroyed, 0 damaged, 0 abandoned, 1 captured
279 T-72B3 Obr. 2016: 159 destroyed, 6 damaged, 8 abandoned, 106 captured
62 T-72B3 Obr. 2022: 48 destroyed, 3 damaged, 8 abandoned, 3 captured
157 Unknown T-72: 124 destroyed, 15 damaged, 15 abandoned, 3 captured
4 T-80B: 4 destroyed, 0 damaged, 0 abandoned, 0 captured
602 T-80BV: 433 destroyed, 21 damaged, 69 abandoned, 79 captured
4 T-80BVK: 3 destroyed, 0 damaged, 0 abandoned, 1 captured
48 T-80BV Obr. 2022: 44 destroyed, 0 damaged, 4 abandoned, 0 captured
100 T-80U: 47 destroyed, 1 damaged, 6 abandoned, 46 captured
2 T-80UK: 1 destroyed, 0 damaged, 0 abandoned, 1 captured
7 T-80UE-1: 3 destroyed, 0 damaged, 0 abandoned, 4 captured
1 T-80UM2: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
132 T-80BVM: 85 destroyed, 6 damaged, 10 abandoned, 31 captured
35 T-80BVM Obr. 2022: 24 destroyed, 0 damaged, 6 abandoned, 5 captured
21 Unknown T-80: 11 destroyed, 2 damaged, 6 abandoned, 2 captured
41 T-90A: 27 destroyed, 0 damaged, 4 abandoned, 10 captured
