2 T-54-3M: 1 destroyed, 0 damaged, 1 abandoned, 0 captured
2 T-54B: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
3 T-55A: 2 destroyed, 1 damaged, 0 abandoned, 0 captured
1 T-55A Obr. 1981: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
5 T-62 Obr. 1967: 4 destroyed, 0 damaged, 0 abandoned, 1 captured
2 T-62 Obr. 1972: 1 destroyed, 0 damaged, 1 abandoned, 0 captured
128 T-62M: 78 destroyed, 9 damaged, 7 abandoned, 34 captured
36 T-62M Obr. 2022: 30 destroyed, 2 damaged, 3 abandoned, 1 captured
35 T-62MV: 21 destroyed, 1 damaged, 3 abandoned, 10 captured
9 T-62MV Obr. 2022: 7 destroyed, 1 damaged, 1 abandoned, 0 captured
34 Unknown T-62: 29 destroyed, 0 damaged, 5 abandoned, 0 captured
3 T-64A: 2 destroyed, 1 damaged, 0 abandoned, 0 captured
92 T-64BV: 72 destroyed, 10 damaged, 6 abandoned, 4 captured
2 T-64BVK: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
1 Unknown T-64: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
4 T-72 'Ural': 2 destroyed, 0 damaged, 2 abandoned, 0 captured
46 T-72A: 29 destroyed, 1 damaged, 7 abandoned, 9 captured
24 T-72AV: 18 destroyed, 0 damaged, 2 abandoned, 4 captured
352 T-72B: 253 destroyed, 8 damaged, 27 abandoned, 64 captured
111 T-72B Obr. 1989: 74 destroyed, 4 damaged, 13 abandoned, 20 captured
145 T-72B Obr. 2022: 106 destroyed, 3 damaged, 35 abandoned, 1 captured
31 T-72BA: 13 destroyed, 2 damaged, 0 abandoned, 16 captured
377 T-72B3: 253 destroyed, 25 damaged, 23 abandoned, 76 captured
3 T-72B3 Obr. 2014: 2 destroyed, 0 damaged, 0 abandoned, 1 captured
291 T-72B3 Obr. 2016: 171 destroyed, 6 damaged, 8 abandoned, 106 captured
87 T-72B3 Obr. 2022: 71 destroyed, 3 damaged, 9 abandoned, 4 captured
181 Unknown T-72: 149 destroyed, 15 damaged, 14 abandoned, 3 captured
4 T-80B: 4 destroyed, 0 damaged, 0 abandoned, 0 captured
665 T-80BV: 494 destroyed, 21 damaged, 71 abandoned, 79 captured
79 T-80BV Obr. 2022: 70 destroyed, 0 damaged, 9 abandoned, 0 captured
4 T-80BVK: 3 destroyed, 0 damaged, 0 abandoned, 1 captured
101 T-80U: 49 destroyed, 1 damaged, 6 abandoned, 45 captured
2 T-80UK: 1 destroyed, 0 damaged, 0 abandoned, 1 captured
7 T-80UE-1: 3 destroyed, 0 damaged, 0 abandoned, 4 captured
1 T-80UM2: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
139 T-80BVM: 92 destroyed, 6 damaged, 10 abandoned, 31 captured
51 T-80BVM Obr. 2022: 40 destroyed, 0 damaged, 6 abandoned, 5 captured
27 Unknown T-80: 17 destroyed, 2 damaged, 6 abandoned, 2 captured
42 T-90A: 29 destroyed, 0 damaged, 3 abandoned, 10 captured
1 T-90AK: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
11 T-90S: 9 destroyed, 0 damaged, 1 abandoned, 1 captured
125 T-90M: 74 destroyed, 15 damaged, 29 abandoned, 7 captured
473 Unknown tank: 386 destroyed, 20 damaged, 67 abandoned, 0 captured
3 BMPT Terminator: 1 destroyed, 2 damaged, 0 abandoned, 0 captured
35 BRM-1(K) reconnaissance vehicle: 23 destroyed, 1 damaged, 2 abandoned, 9 captured
2 BRM-1K Obr. 2021: 1 destroyed, 0 damaged, 0 abandoned, 1 captured
5 BRDM-2: 4 destroyed, 0 damaged, 0 abandoned, 1 captured
5 BRDM-2M/A: 5 destroyed, 0 damaged, 0 abandoned, 0 captured
1 BRDM-2MS: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
4 BRDM-2RKhb chemical reconnaissance vehicle: 2 destroyed, 0 damaged, 0 abandoned, 2 captured
2 BRDM-2-based ZS-82 PsyOps vehicle: 1 destroyed, 0 damaged, 0 abandoned, 1 captured
1 BTR-80-based ZS-88 PsyOps vehicle: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 BTR-80 with 57mm UB-32 unguided aircraft rocket pods: 0 destroyed, 1 damaged, 0 abandoned, 0 captured
1205 MT-LB: 970 destroyed, 19 damaged, 72 abandoned, 144 captured
226 MT-LBVM and MT-LBVMK: 123 destroyed, 0 damaged, 10 abandoned, 93 captured
48 MT-LB with ZU-23 AA gun: 36 destroyed, 1 damaged, 0 abandoned, 11 captured
4 MT-LB With 14.5mm BPU-1 Turret: 4 destroyed, 0 damaged, 0 abandoned, 0 captured
1 MT-LB with 14.5mm 2M-7 naval gun mount: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
3 MT-LB with AZP S-60 AA gun: 3 destroyed, 0 damaged, 0 abandoned, 0 captured
3 MT-LB with 100mm MT-12 anti-tank gun: 3 destroyed, 0 damaged, 0 abandoned, 0 captured
2 MT-LB with 82-mm automatic mortar 2B9 Vasilek: 1 destroyed, 1 damaged, 0 abandoned, 0 captured
1 MT-LB with 25mm 2M-3 naval gun: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
