17 BMP-2D: 12 destroyed, 0 damaged, 0 abandoned, 5 captured
38 BMP-2M Berezhok: 24 destroyed, 2 damaged, 4 abandoned, 8 captured
175 BMP-2 675-sb3KDZ: 146 destroyed, 2 damaged, 25 abandoned, 2 captured
8 BMP-2M 675-sb3KDZ: 7 destroyed, 0 damaged, 1 abandoned, 0 captured
207 Unknown BMP-1/2: 182 destroyed, 4 damaged, 21 abandoned, 0 captured
364 BMP-3: 257 destroyed, 21 damaged, 33 abandoned, 53 captured
37 BMP-3 Obr. 2020: 21 destroyed, 0 damaged, 3 abandoned, 13 captured
129 BMP-3 688A-sb6-2KP: 105 destroyed, 3 damaged, 20 abandoned, 1 captured
2 BMP-3 4S24 NKDZ: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
15 MT-LBM 6MB: 9 destroyed, 2 damaged, 1 abandoned, 3 captured
284 BMD-2: 207 destroyed, 7 damaged, 14 abandoned, 56 captured
125 BMD-4M: 106 destroyed, 5 damaged, 3 abandoned, 11 captured
1 Unknown BMP-3 or BMD-4M: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
673 BTR-82A(M): 500 destroyed, 28 damaged, 31 abandoned, 114 captured
149 BTR-82AT: 118 destroyed, 6 damaged, 11 abandoned, 14 captured
5 BTR-50: 4 destroyed, 0 damaged, 1 abandoned, 0 captured
4 BTR-50 with BPU-1 turret: 2 destroyed, 0 damaged, 2 abandoned, 0 captured
1 BTR-60PB: 0 destroyed, 1 damaged, 0 abandoned, 0 captured
10 BTR-70: 8 destroyed, 1 damaged, 0 abandoned, 1 captured
8 BTR-70M: 7 destroyed, 0 damaged, 0 abandoned, 1 captured
226 BTR-80: 149 destroyed, 4 damaged, 16 abandoned, 57 captured
66 Unknown BTR-80/BTR-82A: 56 destroyed, 5 damaged, 5 abandoned, 0 captured
16 Remdiesel Z-STS Akhmat: 11 destroyed, 2 damaged, 2 abandoned, 1 captured
5 Ural-VV: 4 destroyed, 0 damaged, 0 abandoned, 1 captured
89 BTR-D: 60 destroyed, 1 damaged, 6 abandoned, 22 captured
42 BTR-MDM Rakushka: 29 destroyed, 3 damaged, 2 abandoned, 8 captured
1 Plastun-SN: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
4 BMO-T: 3 destroyed, 0 damaged, 0 abandoned, 1 captured
28 KamAZ-63968 Typhoon: 19 destroyed, 2 damaged, 1 abandoned, 6 captured
3 KamAZ-435029 Patrol-A: 2 destroyed, 1 damaged, 0 abandoned, 0 captured
11 K-53949 Typhoon-K: 10 destroyed, 0 damaged, 0 abandoned, 1 captured
13 K-53949 Linza: 8 destroyed, 1 damaged, 0 abandoned, 4 captured
1 ZSA-Ò Armoured Ambulance: 0 destroyed, 1 damaged, 0 abandoned, 0 captured
5 BPM-97 Vystrel: 2 destroyed, 0 damaged, 0 abandoned, 3 captured
15 GAZ Tigr: 7 destroyed, 0 damaged, 1 abandoned, 7 captured
182 GAZ Tigr-M: 142 destroyed, 7 damaged, 0 abandoned, 33 captured
29 AMN-590951: 20 destroyed, 4 damaged, 2 abandoned, 3 captured
34 Iveco LMV Rys: 26 destroyed, 3 damaged, 0 abandoned, 5 captured
2 GAZ-39371 'Vodnik': 0 destroyed, 0 damaged, 0 abandoned, 2 captured
1 KamAZ Patrol: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
3 Unknown IMV: 3 destroyed, 0 damaged, 0 abandoned, 0 captured
12 BMP-1KSh command and staff vehicle: 7 destroyed, 0 damaged, 0 abandoned, 5 captured
12 BMD-1KSh-A command vehicle: 8 destroyed, 0 damaged, 0 abandoned, 4 captured
1 BTR-60PU-12command vehicle: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
2 R-145BM command vehicle: 1 destroyed, 0 damaged, 0 abandoned, 1 captured
8 R-145BM1 command vehicle: 7 destroyed, 0 damaged, 0 abandoned, 1 captured
1 9S470M1 command vehicle for Buk-M1: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 R-145BMA command vehicle: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
2 R-142NSA command and signals vehicle: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
83 R-149MA1 command and staff vehicle: 50 destroyed, 2 damaged, 2 abandoned, 29 captured
40 R-149MA3 command and staff vehicle: 17 destroyed, 0 damaged, 0 abandoned, 23 captured
6 APE-5 command post: 6 destroyed, 0 damaged, 0 abandoned, 0 captured
2 MSh-5350.1 command vehicle: 1 destroyed, 0 damaged, 0 abandoned, 1 captured
2 9S470M1 (or variant thereof) command post (for Buk-M1/2): 1 destroyed, 0 damaged, 0 abandoned, 1 captured
7 Barnaul-T 9Ñ932-1 automated system for air defence units: 3 destroyed, 0 damaged, 0 abandoned, 4 captured
1 9S932-2 intelligence control and command vehicle (for Barnaul-T): 0 destroyed, 0 damaged, 0 abandoned, 1 captured
1 Command vehicle for Podlet-K1 low-altitude S-band surveillance radar: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
2 55K6A command post for S-400: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
22 R-149AKSh-1 command and signals vehicle: 19 destroyed, 2 damaged, 0 abandoned, 1 captured
3 R-149BMRgcommand and signals vehicle: 2 destroyed, 0 damaged, 0 abandoned, 1 captured
1 R-161 signals vehicle: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
24 R-166-0.5 signals vehicle: 18 destroyed, 0 damaged, 0 abandoned, 6 captured
1 P-240digital communications vehicle: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 P-260 Redut-2US communication system: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 P-260-U signals vehicle (for Redut-2US signal and communications system): 1 destroyed, 0 damaged, 0 abandoned, 0 captured
2 R-431AM antenna module for the Redut-2US communications system: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
3 R-419L1 communications station: 3 destroyed, 0 damaged, 0 abandoned, 0 captured
11 MP-1IM signals vehicle: 8 destroyed, 0 damaged, 0 abandoned, 3 captured
2 MP-2IM signals vehicle: 1 destroyed, 0 damaged, 0 abandoned, 1 captured
