2 M-55S: 1 destroyed, 1 damaged, 0 abandoned, 0 captured
2 T-64A: 1 destroyed, 0 damaged, 0 abandoned, 1 captured
4 T-64B: 2 destroyed, 0 damaged, 0 abandoned, 2 captured
295 T-64BV: 207 destroyed, 29 damaged, 10 abandoned, 49 captured
109 T-64BV Zr. 2017: 66 destroyed, 5 damaged, 9 abandoned, 30 captured
10 T-64B1M: 3 destroyed, 0 damaged, 0 abandoned, 7 captured
20 T-64BM 'Bulat': 14 destroyed, 3 damaged, 0 abandoned, 3 captured
5 T-64BM2 'Bulat': 4 destroyed, 1 damaged, 0 abandoned, 0 captured
2 Unknown T-64: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
6 T-72 'Ural': 3 destroyed, 1 damaged, 1 abandoned, 1 captured
86 T-72M/M1(R): 64 destroyed, 4 damaged, 9 abandoned, 9 captured
9 T-72EA: 6 destroyed, 2 damaged, 0 abandoned, 1 captured
49 T-72AV: 32 destroyed, 2 damaged, 8 abandoned, 7 captured
46 T-72B: 38 destroyed, 2 damaged, 0 abandoned, 6 captured
21 T-72AMT: 11 destroyed, 1 damaged, 2 abandoned, 7 captured
3 T-72AMT Zr.2022: 3 destroyed, 0 damaged, 0 abandoned, 0 captured
8 PT-91 Twardy: 4 destroyed, 1 damaged, 3 abandoned, 0 captured
21 Unknown T-72: 20 destroyed, 1 damaged, 0 abandoned, 0 captured
65 T-80BV: 46 destroyed, 4 damaged, 2 abandoned, 13 captured
21 Leopard 2A4: 10 destroyed, 5 damaged, 6 abandoned, 0 captured
11 Leopard 2A6: 6 destroyed, 3 damaged, 2 abandoned, 0 captured
7 Stridsvagn 122: 1 destroyed, 1 damaged, 5 abandoned, 0 captured
1 Challenger 2: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
11 M1A1 SA Abrams: 4 destroyed, 1 damaged, 6 abandoned, 0 captured
62 Unknown tank: 55 destroyed, 5 damaged, 2 abandoned, 0 captured
1 BMPT Azovets: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
4 AMX-10 RC(R): 2 destroyed, 0 damaged, 1 abandoned, 1 captured
51 BRM-1(K) reconnaissance vehicle: 33 destroyed, 2 damaged, 4 abandoned, 12 captured
72 BRDM-2: 44 destroyed, 1 damaged, 0 abandoned, 27 captured
1 BRDM-2T(A): 0 destroyed, 0 damaged, 0 abandoned, 1 captured
55 BRDM-2L1: 37 destroyed, 1 damaged, 0 abandoned, 17 captured
11 BRDM-2RKhb chemical reconnaissance vehicle: 9 destroyed, 0 damaged, 0 abandoned, 2 captured
2 Vepr: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
73 MT-LB: 61 destroyed, 3 damaged, 1 abandoned, 8 captured
14 MT-LB with ZU-23 ¿¿ gun: 10 destroyed, 2 damaged, 0 abandoned, 2 captured
3 MT-LB-AT: 3 destroyed, 0 damaged, 0 abandoned, 0 captured
1 MT-LB with BPU-1 turret: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 MT-LB with 85mm D-44 gun: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 BTS-4 ARV : 0 destroyed, 0 damaged, 0 abandoned, 1 captured
