2 T-54-3M: 1 destroyed, 0 damaged, 1 abandoned, 0 captured
1 T-54B: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
3 T-55A: 2 destroyed, 1 damaged, 0 abandoned, 0 captured
1 T-55A Obr. 1981: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
5 T-62 Obr. 1967: 4 destroyed, 0 damaged, 0 abandoned, 1 captured
2 T-62 Obr. 1972: 1 destroyed, 0 damaged, 1 abandoned, 0 captured
120 T-62M: 70 destroyed, 9 damaged, 7 abandoned, 34 captured
31 T-62M Obr. 2022: 26 destroyed, 2 damaged, 3 abandoned, 0 captured
33 T-62MV: 18 destroyed, 1 damaged, 4 abandoned, 10 captured
10 T-62MV Obr. 2022: 5 destroyed, 1 damaged, 4 abandoned, 0 captured
20 Unknown T-62: 16 destroyed, 0 damaged, 4 abandoned, 0 captured
3 T-64A: 2 destroyed, 1 damaged, 0 abandoned, 0 captured
91 T-64BV: 71 destroyed, 10 damaged, 6 abandoned, 4 captured
2 T-64BVK: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
1 Unknown T-64: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
4 T-72 'Ural': 2 destroyed, 0 damaged, 2 abandoned, 0 captured
46 T-72A: 29 destroyed, 1 damaged, 7 abandoned, 9 captured
23 T-72AV: 17 destroyed, 0 damaged, 2 abandoned, 4 captured
350 T-72B: 251 destroyed, 8 damaged, 27 abandoned, 64 captured
109 T-72B Obr. 1989: 73 destroyed, 4 damaged, 13 abandoned, 19 captured
139 T-72B Obr. 2022: 102 destroyed, 3 damaged, 33 abandoned, 1 captured
31 T-72BA: 13 destroyed, 2 damaged, 0 abandoned, 16 captured
374 T-72B3: 250 destroyed, 25 damaged, 23 abandoned, 76 captured
3 T-72B3 Obr. 2014: 2 destroyed, 0 damaged, 0 abandoned, 1 captured
286 T-72B3 Obr. 2016: 166 destroyed, 6 damaged, 8 abandoned, 106 captured
73 T-72B3 Obr. 2022: 57 destroyed, 3 damaged, 9 abandoned, 4 captured
175 Unknown T-72: 141 destroyed, 15 damaged, 16 abandoned, 3 captured
4 T-80B: 4 destroyed, 0 damaged, 0 abandoned, 0 captured
640 T-80BV: 471 destroyed, 21 damaged, 69 abandoned, 79 captured
61 T-80BV Obr. 2022: 55 destroyed, 0 damaged, 6 abandoned, 0 captured
4 T-80BVK: 3 destroyed, 0 damaged, 0 abandoned, 1 captured
100 T-80U: 47 destroyed, 1 damaged, 6 abandoned, 46 captured
2 T-80UK: 1 destroyed, 0 damaged, 0 abandoned, 1 captured
7 T-80UE-1: 3 destroyed, 0 damaged, 0 abandoned, 4 captured
1 T-80UM2: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
135 T-80BVM: 88 destroyed, 6 damaged, 10 abandoned, 31 captured
42 T-80BVM Obr. 2022: 31 destroyed, 0 damaged, 6 abandoned, 5 captured
