8 M113AS4: 6 destroyed, 0 damaged, 1 abandoned, 1 captured
10 M113G3DK/G4DK: 6 destroyed, 1 damaged, 2 abandoned, 1 captured
24 FV103 Spartan: 18 destroyed, 3 damaged, 1 abandoned, 2 captured
1 FV104Samaritan: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
1 FV105 Sultan: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
4 FV432 Bulldog: 1 destroyed, 0 damaged, 0 abandoned, 3 captured
42 VAB: 29 destroyed, 3 damaged, 8 abandoned, 2 captured
14 Sisu XA-185: 8 destroyed, 1 damaged, 4 abandoned, 1 captured
37 M1126 Stryker: 25 destroyed, 4 damaged, 5 abandoned, 3 captured
1 M548 tracked cargo carrier: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
25 converted to APC: 3 destroyed, 0 damaged, 0 abandoned, 0 captured
6 FFG APC: 5 destroyed, 0 damaged, 1 abandoned, 0 captured
4 BOV APC: 2 destroyed, 0 damaged, 1 abandoned, 1 captured
2 Pbv 302: 0 destroyed, 0 damaged, 2 abandoned, 0 captured
1 Vepr: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
2 KrAZ-MPV Shrek One: 1 destroyed, 0 damaged, 0 abandoned, 1 captured
1 KrAZ-Forpost: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
4 Alvis 4 'Mamba': 2 destroyed, 1 damaged, 0 abandoned, 1 captured
35 Mastiff Protected Patrol: 22 destroyed, 5 damaged, 5 abandoned, 3 captured
6 Wolfhound Protected Patrol: 5 destroyed, 1 damaged, 0 abandoned, 0 captured
26 Bushmaster Protected Mobility Vehicle: 20 destroyed, 5 damaged, 0 abandoned, 1 captured
190 International M1224 MaxxPro: 145 destroyed, 15 damaged, 16 abandoned, 14 captured
30 Oshkosh M-ATV: 22 destroyed, 1 damaged, 5 abandoned, 2 captured
1 BATT UMG: 0 destroyed, 1 damaged, 0 abandoned, 0 captured
11 ATF Dingo: 10 destroyed, 1 damaged, 0 abandoned, 0 captured
65 BMC Kirpi: 40 destroyed, 5 damaged, 8 abandoned, 12 captured
52 Roshel Senator MRAP: 39 destroyed, 3 damaged, 2 abandoned, 8 captured
14 KrAZ Cobra: 8 destroyed, 1 damaged, 0 abandoned, 5 captured
6 KrAZ Cougar: 2 destroyed, 0 damaged, 0 abandoned, 4 captured
14 Cougar H: 9 destroyed, 0 damaged, 2 abandoned, 3 captured
12 KrAZ Spartan: 11 destroyed, 0 damaged, 0 abandoned, 1 captured
23 Novator: 14 destroyed, 4 damaged, 0 abandoned, 5 captured
40 Varta: 13 destroyed, 2 damaged, 0 abandoned, 25 captured
64 Kozak-2: 45 destroyed, 0 damaged, 0 abandoned, 19 captured
51 Kozak-2M1: 37 destroyed, 3 damaged, 3 abandoned, 8 captured
4 Kozak-5: 2 destroyed, 0 damaged, 0 abandoned, 2 captured
103 Kozak-7: 71 destroyed, 1 damaged, 23 abandoned, 8 captured
4 Triton-1: 0 destroyed, 0 damaged, 0 abandoned, 4 captured
141 M1114 M1151 HMMWV: 104 destroyed, 12 damaged, 11 abandoned, 14 captured
40 M1152 HMMWV: 38 destroyed, 0 damaged, 1 abandoned, 1 captured
19 M998 HMMWV: 5 destroyed, 1 damaged, 0 abandoned, 13 captured
11 M1165 HMMWV: 8 destroyed, 1 damaged, 0 abandoned, 2 captured
2 M1123 HMMWV: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
15 HMMWV Ambulance: 5 destroyed, 2 damaged, 0 abandoned, 8 captured
27 Unknown HMMWVvariant: 25 destroyed, 1 damaged, 0 abandoned, 1 captured
4 M1117: 3 destroyed, 0 damaged, 1 abandoned, 0 captured
14 AT105A Saxon: 6 destroyed, 0 damaged, 0 abandoned, 8 captured
24 Husky Tactical Support Vehicle: 14 destroyed, 5 damaged, 2 abandoned, 3 captured
17 Iveco LMV: 13 destroyed, 2 damaged, 2 abandoned, 0 captured
3 MLS Shield: 1 destroyed, 2 damaged, 0 abandoned, 0 captured
5 INKAS Titan-S: 5 destroyed, 0 damaged, 0 abandoned, 0 captured
7 Panthera T6: 5 destroyed, 0 damaged, 0 abandoned, 2 captured
31 Roshel Senator IMV: 24 destroyed, 3 damaged, 1 abandoned, 3 captured
2 AMZ Dzik-2: 1 destroyed, 0 damaged, 0 abandoned, 1 captured
6 Oncilla: 4 destroyed, 0 damaged, 2 abandoned, 0 captured
1 Coyote tactical support vehicle: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
79 APC-SH Fighter 2: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
3 Otokar Cobra II: 3 destroyed, 0 damaged, 0 abandoned, 0 captured
1 Terradyne Gurkha: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
2 URO VAMTAC: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
18 Unknown IMV: 16 destroyed, 1 damaged, 1 abandoned, 0 captured
3 BMP-1KSh command staff vehicle: 2 destroyed, 0 damaged, 0 abandoned, 1 captured
1 K1Sh1 command staff vehicle: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
1 R-142N command staff vehicle: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 BTR-70DI-02 'Svityaz' command staff vehicle: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
4 R-145BM command vehicle: 3 destroyed, 0 damaged, 0 abandoned, 1 captured
3 BTR-60PU-12 air defence command vehicle: 2 destroyed, 0 damaged, 0 abandoned, 1 captured
1 R-409A radio station vehicle: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 R-405M radio station vehicle: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 R-845 radio station: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 ZiL-131-based KShM KUNG command vehicle: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 Radio relay station for the TB2 UCAV: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
2 Control station for the TB2 UCAV: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
15 M577 command post: 10 destroyed, 0 damaged, 5 abandoned, 0 captured
1 SkyGuard Aspide control station: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
16 IMR-2 combat engineering vehicle: 12 destroyed, 2 damaged, 1 abandoned, 1 captured
1 BMR-2 mine-clearing tank: 0 destroyed, 0 damaged, 1 abandoned, 0 captured
77 Meteorit: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
3 T-64 mine-clearing tank: 1 destroyed, 0 damaged, 1 abandoned, 1 captured
3 Leopard 2R mine-clearing tank: 1 destroyed, 2 damaged, 0 abandoned, 0 captured
2 Wisent 1 mine-clearing tank: 1 destroyed, 0 damaged, 1 abandoned, 0 captured
5 BAT-2 heavy engineering vehicle: 3 destroyed, 0 damaged, 0 abandoned, 2 captured
1 MT-T multi-purpose tracked transporter: 0 destroyed, 1 damaged, 0 abandoned, 0 captured
